Unsaved
Job Logging Information

User:	Fraunhofer ILT
Job-ID:	SN#1596 / M2-2020-07-17 / ID-Pos:180�
LogPath:	D:\Kittel\Data-PJM
Powder Typ:	MetcoClad 625F
Particle Size:	
Powder Mass Flow:	3.0 g/min
Powder Feeder Typ:	GTV PF 2/2
Powder Feeder Setting:	PF Setting: 1.5    [Rail: 3.5x0.3]
Carrier-Gas:	3.0 l/min Argon
Shielding-Gas:	0.0 l/min
Comment:	

Job Nozzle Information

Name:	ILT Coax LS
SN:	#1596
Diameter [mm]:	3.300
Tip Offset [mm]:	169.000
Costumer Information:	RR PLC
Adjustment:	Channel setup: 180�m

Main Settings

Nozzle Reference [mm]:	-276.000
Z-Axis Home-Position:	-40.000
Z-Axis FindNozzleStart-Position:	-100.000
Find Nozzle Monitor Threshold [V]:	8.000
Find Nozzle Laser-ON Delay [s]:	1.000
Find Nozzle Z-Axis Range [mm]:	2.000
Find Nozzle Z-Axis Step [mm]:	0.025
Powder Image Circle Mask Diameter [Pct]:	95.000
Caustic Fit-Range [mm]:	3.000

Powder Settings

Pixel Size [�m]:	18.073
Circle Mask Diameter [px]:	86.225
Circle Mask X [px]:	438
Circle Mask Y [px]:	271
ClipLevel [Pct]:	5.000
Threshold?:	0
Binarize?:	0
Threshold [I]:	10
Energy Radius [Pct]:	86.500

Measure Nozzle Diameter

Img. Threshold:	200.000
Min. Contour-Length:	500.000
Expected Diameter [mm]:	3.300
Tolerance Diameter [mm]:	0.500
Focus-Axis Pos. [mm]:	-108.400
CAM Framerate [Hz]:	5.000
CAM Exposuretime [�s]:	800.000

Measure Nozzle Results

Result State:	IO
Center X [mm]:	7.915
Center Y [mm]:	6.520
Diameter [mm]:	3.281

Find Nozzle

Laser Power [%]:	35.000
Laser Pulse Duration [mA]:	20.000

Find Nozzle Result

Z-Axis Position [mm]:	-108.400

Measure Powder

CAM Framerate [Hz]:	500.000
CAM Exposuretime [�s]:	10.000
Laser Power [%]:	30.000
Laser Pulse Duration [mA]:	5.000
Images per Layer:	10000

Caustic Results

Result State:	IO
Focus Position (FIT) [mm]:	7.080
Focus Diameter (FIT) [mm]:	0.746
Focus Position (DIS) [mm]:	7.000
Focus Diameter (DIS) [mm]:	0.699
FIT x0:	0.373
FIT x1:	7.075
FIT x2:	1.065

Layer #	Z-Pos[mm]	Powder Diameter [mm]	Mx [mm]	My [mm]
1	3.000	2.874	8.151	6.523
2	4.000	2.246	8.125	6.548
3	5.000	1.635	8.062	6.565
4	5.500	1.354	8.015	6.570
5	5.750	1.217	7.999	6.579
6	6.000	1.096	7.978	6.582
7	6.250	0.963	7.964	6.585
8	6.500	0.855	7.949	6.586
9	6.750	0.756	7.937	6.587
10	7.000	0.699	7.931	6.598
11	7.250	0.713	7.930	6.600
12	7.500	0.785	7.926	6.602
13	7.750	0.902	7.926	6.600
14	8.000	1.039	7.918	6.601
15	9.000	1.600	7.925	6.606
16	10.000	2.134	7.941	6.610
17	11.000	2.569	7.938	6.584
18	12.000	2.764	7.929	6.515
